,Sample_ID,missing_loci_1
0,ucin001,0.12608405603735823
1,ucin002,0.10607071380920614
2,ucin003,0.1514342895263509
3,ucin004conc,0.047364909939959975
4,ucin005,0.01000667111407605
5,ucin006conc,0.01000667111407605
6,ucin007,0.02268178785857238
7,ucin008,0.01200800533689126
8,ucin009z,0.0266844563042028
9,ucin010REz,0.28552368245497
10,ucin011REz,0.06404269513008673
11,ucin012RE,0.01734489659773182
12,ucin013re,0.0066711140760507
13,ucin016,0.030020013342228154
14,ucin017,0.019346230820547032
15,ucin018z,0.02601734489659773
16,ucin020,0.23815877251501
17,ucin021,0.08405603735823883
18,ucin022,0.1627751834556371
19,ucin023,0.1954636424282855
20,ucin024,0.18345563709139426
21,ucin024replicate,0.11407605070046697
22,ucin026,0.11741160773849232
23,ucin028,0.2201467645096731
24,ucin029,0.33755837224816543
25,ucin030,0.059372915276851235
26,ucin031,0.06204136090727151
27,ucin032,0.030020013342228154
28,ucin033,0.018679119412941963
29,ucin034,0.02134756504336224
30,ucin035,0.028018679119412943
31,ucin036conc,0.2715143428952635
32,ucin037,0.45030020013342226
33,ucin038conc,0.31687791861240827
34,ucin039conc,0.028685790527018012
35,ucin040,0.01000667111407605
36,ucin041,0.17745163442294865
37,ucin042conc,0.25950633755837227
38,ucin043,0.08205470313542361
39,ucin044conc,0.022014676450967312
40,ucin045,0.2141427618412275
41,ucin046z,0.08605737158105403
42,ucin047conc,0.037358238825883926
43,ucin048z,0.29753168779186123
44,ucin049z,0.0333555703802535
45,ucin050,0.9739826551034023
46,ucin052z,0.05470313542361575
47,ucin053conc,0.018679119412941963
48,ucin054,0.038692461641094064
49,ucin055,0.47631754503002
50,ucin056conc,0.0913942628418946
51,ucin057z,0.18612408272181455
52,ucin058z,0.03602401601067378
53,ucin059,0.02334889926617745
54,ucin060z,0.23949299533022014
55,ucin061z,0.16210807204803201
56,ucin062z,0.15210140093395597
57,ucin063RE,0.042028018679119414
58,ucin065,0.022014676450967312
59,ucin068B,0.17945296864576385
60,ucin074,0.2134756504336224
61,ucin075,0.23482321547698465
62,ucin076z,0.2541694462975317
63,ucin077z,0.1114076050700467
64,ucin078z,0.016010673782521682
65,ucin079z,0.040693795863909275
66,ucin080z,0.35156771180787194
67,ucin081,0.2134756504336224
68,ucin083,0.2768512341561041
69,ucin089,0.14076050700466977
70,ucin090,0.19679786524349566
71,ucin091,0.052701801200800535
72,ucin092,0.6290860573715811
73,ucin093,0.0400266844563042
74,ucin094,0.10540360240160107
75,ucin095,0.01000667111407605
76,ucin096,0.01467645096731154
77,ucin097,0.0133422281521014
78,ucin098,0.012675116744496331
79,ucin099,0.05670446964643095
80,ucin100,0.0133422281521014
81,ucin101,0.0847231487658439
82,ucin102,0.02068045363575717
83,ucin103,0.14876584389593062
84,ucin104,0.015343562374916611
85,ucin105,0.01801200800533689
86,ucin106,0.01801200800533689
87,ucin107,0.14609739826551035
88,ucin108,0.26551034022681785
89,ucin109,0.22148098732488325
90,ucin110,0.14142761841227486
91,ucin111,0.1781187458305537
92,ucin112,0.2314876584389593
93,ucin113,0.042028018679119414
94,ucin115re,0.06337558372248166
95,ucin116conc,0.13742494996664442
96,ucin117conc,0.12875250166777852
97,ucin118conc,0.027351567711807873
98,ucin119re,0.056037358238825885
99,ucin120conc,0.13008672448298866
100,ucin121conc,0.09873248832555037
101,ucin122re,0.5817211474316211
102,ucin123z,0.04136090727151434
103,ucin124,0.790527018012008
104,ucin125,0.2895263509006004
105,ucin126,0.17211474316210806
106,ucin127,0.27218145430286855
107,ucin128,0.1874583055370247
108,ucin129z,0.05537024683122081
109,ucin130z,0.17678452301534356
110,ucin131z,0.2988659106070714
111,ucin132,0.30887258172114745
112,ucin133,0.34356237491661107
113,ucin134z,0.47364909939959976
114,ucin135,0.7891927951967979
115,ucin136,0.8579052701801201
116,ucin137,0.08072048032021348
117,ucin138,0.2688458972648432
118,ucin139,0.3135423615743829
119,ucin140,0.17878585723815876
120,ucin141,0.08338892595063375
121,ucin142,0.1247498332221481
122,ucin143,0.4322881921280854
123,ucin144,0.4469646430953969
124,ucin145,0.01467645096731154
125,ucin146,0.01467645096731154
126,ucin147z,0.3008672448298866
127,ucin148,0.01467645096731154
128,ucin149,0.018679119412941963
129,ucin150z,0.15743829219479652
130,ucin151,0.0847231487658439
131,ucin152,0.14609739826551035
132,ucin153conc,0.3989326217478319
133,ucin154re,0.7678452301534356
134,ucin156re,0.256837891927952
135,ucin157conc,0.40360240160106736
136,ucin159conc,0.32421614409606403
137,ucin160re,0.3815877251501001
138,ucin161conc,0.23949299533022014
139,ucin162conc,0.10140093395597065
140,ucin163z,0.676450967311541
141,ucin164re,0.5483655770513676
142,ucin165conc,0.799866577718479
143,ucin166z,0.4069379586390927
144,ucin167conc,0.10740493662441628
145,ucin168,0.18812541694462975
146,ucin169z,0.3842561707805203
147,ucin170conc,0.12008005336891261
148,ucin178,0.36490993995997334
149,ucin179REz,0.43562374916611074
150,ucin181conc,0.44429619746497667
151,ucin182conc,0.5763842561707805
152,ucin203conc,0.895263509006004
153,ucin204conc,0.8725817211474316
154,ucin205,0.014009339559706471
155,ucin206,0.01467645096731154
156,ucin207,0.015343562374916611
157,ucin208,0.13075383589059372
158,ucin209,0.05470313542361575
159,ucin210RE,0.08605737158105403
160,ucin211RE,0.00733822548365577
161,ucin212RE,0.016010673782521682
162,ucin213conc,0.6597731821214142
163,ucin214z,0.39693128752501666
164,ucin215,0.45830553702468313
165,ucin216,0.733155436957972
166,ucin217,0.06937958639092728
167,ucin218,0.18812541694462975
168,ucin219,0.34889926617745165
169,ucin220,0.4176117411607739
170,ucin221,0.3228819212808539
171,ucin222,0.33555703802535025
172,ucin223,0.7831887925283523
173,ucin224,0.980653769179453
174,ucin225,0.34489659773182124
175,ucin226,0.44629753168779185
176,ucin227conc,0.1754503002001334
177,ucin228z,0.08272181454302868
178,ucin229,0.314209472981988
179,ucin230,0.11207471647765177
180,ucin231,0.08338892595063375
181,ucin232,0.042028018679119414
182,ucin233,0.2621747831887925
183,ucin234,0.02068045363575717
184,ucin235z,0.06404269513008673
185,ucin236,0.03935957304869913
186,ucin236replicate,0.0266844563042028
187,ucin237,0.014009339559706471
188,ucin238,0.12741827885256837
189,ucin239,0.009339559706470981
190,ucin240,0.00733822548365577
191,ucin241,0.04536357571714476
192,ucin242,0.44496330887258173
193,ucin243,0.030020013342228154
